Items_AffixesBoons>�;;#Dev Description;Stat Group;Slot;Affix Group;Special;MinRarity;;1.5;;#;#;#;#;#;#;#;13;31;31;0;1;81;57;81;41;29;37;88;88;0;1;213;150;213;107;75;71;170;170;0;1;354;248;354;177;124;107;256;256;0;1;502;351;502;251;176;145;348;348;0;1;660;462;660;330;231;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;;;;Effect1;;;;;;;;;;;;;;;;;;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Effect2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Effect3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Effect4;;;;;;;;;;;;Effect5;;;;;;;;;;;;Effect6;;;;;;;;;;;;Effect7;;;;;;;;;;;;Effect8;;;;;;;;;;;
n/a;code;code;;;;;;gcost;fvsteps;fvmin=;base;mult;fvmax;fvmax;fvmax;fvmax;fvmax;;;-29;;;61;37;61;41;2;;;13;;;188;125;188;107;21;;;80;;;324;218;324;177;43;;;151;;;467;316;467;251;68;;;228;;;620;422;620;330;96;weap;head;tors;hand;wais;feet;ring;jewl;amul;reli;tier1;tier2;tier3;tier4;tier5;perc;fmult;base;maxval;statuses;keywords;Show On Comparison;effect_type;e1p1;e1p1v1;e1p2;e1p2v1;e1p3;e1p3v1;e1p4;e1p4v1;e1p5;e1p5v1;e1p6;e1p6v1;e1p7;e1p7v1;e1p8;e1p8v1;eol;_lvl;_fvs;1_loc;1_st;1_val;1_lvl;1_sca;2_loc;2_st;2_val;2_lvl;2_sca;3_loc;3_st;3_val;3_lvl;3_sca;4_loc;4_st;4_val;4_lvl;4_sca;5_loc;5_st;5_val;5_lvl;5_sca;6_loc;6_st;6_val;6_lvl;6_sca;7_loc;7_st;7_val;7_lvl;7_sca;8_loc;8_st;8_val;8_lvl;8_sca;9_loc;9_st;9_val;9_lvl;9_sca;10_loc;10_st;10_val;10_lvl;10_sca;11_loc;11_st;11_val;11_lvl;11_sca;12_loc;12_st;12_val;12_lvl;12_sca;13_loc;13_st;13_val;13_lvl;13_sca;eol;effect_type;e2p1;e2p1v1;e2p2;e2p2v1;e2p3;e2p3v1;e2p4;e2p4v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;2_loc;2_st;2_val;2_lvl;2_sca;3_loc;3_st;3_val;3_lvl;3_sca;4_loc;4_st;4_val;4_lvl;4_sca;5_loc;5_st;5_val;5_lvl;5_sca;eol;effect_type;e3p1;e3p1v1;e3p2;e3p2v1;e3p3;e3p3v1;e3p4;e3p4v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;2_loc;2_st;2_val;2_lvl;2_sca;3_loc;3_st;3_val;3_lvl;3_sca;4_loc;4_st;4_val;4_lvl;4_sca;eol;effect_type;e4p1;e4p1v1;e4p2;e4p2v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;eol;effect_type;e5p1;e5p1v1;e5p2;e5p2v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;eol;effect_type;e6p1;e6p1v1;e6p2;e6p2v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;eol;effect_type;e7p1;e7p1v1;e7p2;e7p2v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;eol;effect_type;e8p1;e8p1v1;e8p2;e8p2v1;eol;1_loc;1_st;1_val;1_lvl;1_sca;eol
;a;Armor;Item;none;@a;FALSE;brok;1;1;FALSE;18;22;40;62;84;106;128;0;9999;9999;9999;9999;9999;0;0;0;40;0;9999;9999;9999;9999;9999;0;0;0;62;0;9999;9999;9999;9999;9999;0;0;0;84;0;9999;9999;9999;9999;9999;0;0;0;106;0;9999;9999;9999;9999;9999;0;0;0;128;0;9999;9999;9999;9999;9999;0;0;0;1;40;62;84;106;128;;;;;;;TRUE;statm_base;stat;arm;group;;;;;;;;;;;;;;0;1;1;;val;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0
;e;Evasion;Item;none;@e;FALSE;brok;1;1;FALSE;;40;40;80;120;160;200;0;9999;9999;9999;9999;9999;0;0;0;40;0;9999;9999;9999;9999;9999;0;0;0;80;0;9999;9999;9999;9999;9999;0;0;0;120;0;9999;9999;9999;9999;9999;0;0;0;160;0;9999;9999;9999;9999;9999;0;0;0;200;0;9999;9999;9999;9999;9999;0;0;0;1;40;80;120;160;200;;;;;;;TRUE;statm_base;stat;eva;group;;;;;;;;;;;;;;0;1;1;;val;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0
;h;Health;Item;none;@h;FALSE;brok;1;1;FALSE;;40;40;80;120;160;200;0;9999;9999;9999;9999;9999;0;0;0;40;0;9999;9999;9999;9999;9999;0;0;0;80;0;9999;9999;9999;9999;9999;0;0;0;120;0;9999;9999;9999;9999;9999;0;0;0;160;0;9999;9999;9999;9999;9999;0;0;0;200;0;9999;9999;9999;9999;9999;0;0;0;1;40;80;120;160;200;;;;;;;TRUE;statm_base;stat;hp;group;;;;;;;;;;;;;;0;1;1;;val;1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0
;hr;Health Regen;Item;none;@hr;FALSE;comm;1.4;11;FALSE;12;10;242;352;462;572;682;0;44;187;0;88;0;33;33;66;242;0;66;275;0;132;0;44;44;99;352;0;88;363;0;176;0;66;66;132;462;0;110;451;0;220;0;77;77;165;572;0;132;539;0;264;0;99;99;198;682;0;0.2;0.8;0;0.4;0;0.15;0.15;0.3;1;3.15;4.6;6.15;7.6;9.15;;;;;;;TRUE;statm_base;stat;hpr;group;;;;;;;;;;;;;;0;1;11;;val;0.05;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0
;hol;Heal on Level;Item;none;@hr;FALSE;comm;1.3;2;FALSE;10;6;32;44;56;68;80;0;0;0;0;32;0;0;0;0;18;0;0;0;0;44;0;0;0;0;26;0;0;0;0;56;0;0;0;0;32;0;0;0;0;68;0;0;0;0;40;0;0;0;0;80;0;0;0;0;48;0;0;0;0;1;0;0;0;0;0.6;25;35;44;54;64;;;;;;;TRUE;heal_self_flat;trigger;gain_lvl;;;;;;;;;;;;;;;0;1;2;;val;1;1;0;;cha;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0
;hpg;Heals Multiplier %;Item;none;@hpg;FALSE;comm;1;15;FALSE;;1;15;30;45;60;75;0;0;0;0;0;0;0;0;0;15;0;0;15;0;0;0;0;0;0;30;0;0;30;0;15;0;0;0;0;45;0;0;45;0;15;0;0;0;15;60;0;15;60;0;30;0;0;0;15;75;0;0.2;0.8;0;0.4;0;0.15;0.15;0.3;1;10%;30%;60%;90%;130%;;;;;;;TRUE;statm_mult;stat;hpg;group;;;;;;;;;;;;;;0;1;15;;per;0.1;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0
;ls;Lifesteal on Hit (% chance);Item;none;@ls;FALSE;comm;1.4;14;FALSE;20;14;476;672;868;1064;1260;476;0;0;0;0;0;140;140;476;0;672;0;0;0;0;0;196;196;672;0;868;0;0;0;0;0;252;252;868;0;1064;0;0;0;0;0;308;308;1064;0;1260;0;0;0;0;0;378;378;1260;0;1;0;0;0;0;0;0.3;0.3;1;0;88%;124%;160%;196%;234%;;;;;;;TRUE;heal_self_flat;trigger;hit_any;;;;;;;;;;;;;;;0;1;14;;cha;0.01;1;0;;val;1;0;0;;nth;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0
;hok;Lifeheal on Attack-Kill (% chance);Item;none;@ls;FALSE;comm;1.3;2;FALSE;16;12;56;80;104;128;152;56;56;0;0;0;0;32;32;22;32;80;80;0;0;0;0;48;48;32;48;104;104;0;0;0;0;62;62;40;62;128;128;0;0;0;0;76;76;50;76;152;152;0;0;0;0;90;90;60;90;1;1;0;0;0;0;0.6;0.6;0.4;0.6;115%;168%;217%;267%;317%;;;;;;;TRUE;heal_self_flat;trigger;nth_exe;;;;;;;;;;;;;;;0;1;2;;cha;0.01;1;0;;val;1;0;0;;nth;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0
;hod;Lifeheal on Enemy Dies (% chance);Item;none;@ls;FALSE;comm;1.4;3;FALSE;12;8;60;84;108;132;156;60;60;0;0;0;0;18;18;24;36;84;84;0;0;0;0;24;24;33;48;108;108;0;0;0;0;30;30;42;63;132;132;0;0;0;0;39;39;51;78;156;156;0;0;0;0;45;45;60;93;1;1;0;0;0;0;0.3;0.3;0.4;0.6;72%;99%;127%;157%;185%;;;;;;;TRUE;heal_self_flat;trigger;nth_enemy_died;;;;;;;;;;;;;;;0;1;3;;cha;0.01;1;0;;val;1;0;0;;nth;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0;;;;;;0
